좋아요_수,글_내용
20,Gyeonggi Province promotes local tourism with Gyeonggi’s Four Cuts tourism marketing
50,Gyeonggi Province is taking the initiative in making tourist attractions out of industrial sites. 
10,Catch this week's #GTV English #News for the latest happenings of the #Gyeonggi Provincial Government in the Republic of #Korea! #
