좋아요_수,글_내용
18,Gyeonggi Province promotes local tourism with Gyeonggi’s Four Cuts tourism marketing
44,Gyeonggi Province is taking the initiative in making tourist attractions out of industrial sites. 
9,Catch this week's #GTV English #News for the latest happenings of the #Gyeonggi Provincial Government in the Republic of #Korea! #
